name,tweet,date,like,retweet
ImranKhanPTI,I want to congratulate my govt for the way we handled the Covid pandemic -  better than all the countries in South Asia. https://t.co/r7RGc9xhvZ,2022-03-23 03:41:01+00:00,28030,5654
GNev2,"Hey @RishiSunak you’ve just pushed 1.3m people into absolute poverty this year including 500,000 children.UC rise abolished , NI increase , not feeding children in a pandemic etc . You’re building a truly great record of achievements. Keep smiling for those photo opportunities👍",2022-03-24 07:21:31+00:00,75984,11667
taran_adarsh,"#TheKashmirFiles crosses ₹ 200 cr mark 🔥🔥🔥... Also crosses *lifetime biz* of #Sooryavanshi... Becomes HIGHEST GROSSING *HINDI* FILM [pandemic era]... [Week 2] Fri 19.15 cr, Sat 24.80 cr, Sun 26.20 cr, Mon 12.40 cr, Tue 10.25 cr, Wed 10.03 cr. Total: ₹ 200.13 cr. #India biz. https://t.co/snBVBMcIpm",2022-03-24 04:31:10+00:00,27902,4770
gecko39,"Sweden was well equipped to prevent the pandemic of COVID-19 from becoming serious. 

https://t.co/dZ824dJ11b

Over 280 years of collaboration between political bodies, authorities, and the scientific community had yielded many successes in preventive medicine.",2022-03-24 13:50:25+00:00,0,0
RiceAlumniMed,"RT @freddytn: .@NIH identity crisis: #pandemic &amp; search for new leader

In 10 yrs, @NIH budget = $29B ➡️ $42B

In era when Dems &amp; GOP agree…",2022-03-24 13:50:24+00:00,0,5
aksah04061,"@pulte Matthew 7: 7
Ask, and it shall be given you; seek, and ye shall find; knock, and it shall be opened unto you:
I lost job due covid pandemic crisis in India. Covid makes my family to unlivable condition 
Hope you understand🙏🙏
Help me
--&gt;BILL PULTE&lt;--
https://t.co/8BspaEsqwX",2022-03-24 13:50:22+00:00,0,0
Arcturus6thdim1,"@jodaciousjody @mchooyah The oil companies can do what they want as far as prices.  They did lose money when the pandemic started. If you owned oil shares you lost money, now everyone is making money with these investments.   But if you want the truth, it’s part of a movie to wake you up.  So, wake up.",2022-03-24 13:50:20+00:00,0,0
MartinRemains,@GovTellLies @BoatAboder @NHS @UsforThemUK The pandemic is not over. Your statement is bizarre.,2022-03-24 13:50:19+00:00,0,0
STA_HQ,"STA’s @kayleburgham is excited to be attending the @sportrectweets awards today.  

We are honoured to have made the final 3 in the Mental Health &amp; Wellbeing awards category, for the help we provided swim teachers / learners during the pandemic. 

Good luck everyone at #CSRAS2022 https://t.co/UY2BtAtHJF",2022-03-24 13:50:19+00:00,0,0
SonofTetu,"Pandemic.

@Marion_Ngari https://t.co/MaPmTR4Oi7",2022-03-24 13:50:17+00:00,0,0
rwindrem,"RT @YanzhongHuang: My editorial in AJPH: ""The Health Silk Road: How China Adapts the Belt and Road Initiative to the COVID-19 Pandemic."" ht…",2022-03-24 13:50:17+00:00,0,1
minkelCT,RT @drkerrynphelps: Coming out of the pandemic? Currently over 400000 active cases #qanda,2022-03-24 13:50:16+00:00,0,492
SideshowKen,"RT @dgurdasani1: The biggest thing fuelling this pandemic isn't SARS-CoV-2 anymore - it's denial. We can close our eyes, but the virus will…",2022-03-23 03:40:56+00:00,0,531
MohitMe20,RT @Ronita_Rivashni: What nonsense .... Whenever anything strikes India including a pandemic #AkshayKumar is one of the first people to tak…,2022-03-23 03:40:56+00:00,0,40
gld301218,Truths lost in the pandemic of lying  / Stuart Ress https://t.co/ckWbcK2W5e,2022-03-23 03:40:56+00:00,0,0
